fps,yaw,pitch,roll,height,area
1,-1.21,12.31,-5.67,127,36210
2,-1.71,12.41,-6.01,128,36210
3,-0.97,12.85,-5.87,127,36166
4,-1.03,12.43,-6.17,126,36550
5,-1.06,12.52,-6.13,125,37152
6,-0.79,12.5,-6.4,123,37278
7,-0.43,12.49,-6.44,122,37449
8,-0.19,12.42,-6.5,124,37758
9,0.05,12.47,-6.48,123,38368
10,0.2,12.42,-6.44,124,38368
11,0.45,12.51,-6.37,125,38192
12,0.65,12.49,-6.39,125,38626
13,0.83,12.66,-6.82,125,38192
14,1.23,12.66,-7.26,126,38055
15,1.42,12.89,-7.6,125,38409
16,1.35,12.89,-8.02,125,38448
17,1.36,13.03,-8.47,125,38448
18,1.5,12.94,-8.34,124,38232
19,1.16,13.16,-8.28,124,38055
20,1.04,13.32,-7.99,124,37840
21,1.0,13.66,-7.96,124,38232
22,0.78,13.83,-7.91,124,37980
23,0.47,14.0,-7.75,123,37558
24,0.48,14.01,-7.73,124,37411
25,0.72,13.71,-8.1,126,36462
26,1.07,13.43,-8.12,128,36018
27,1.35,13.31,-8.01,127,36784
28,1.38,13.36,-8.43,125,37024
29,1.21,13.24,-8.65,124,37590
30,0.78,13.48,-8.59,125,36784
31,0.15,13.52,-8.52,125,36366
32,-0.32,13.57,-8.32,124,36330
33,-0.59,13.48,-7.99,123,36503
34,-0.7,13.51,-7.62,121,37275
35,-1.18,13.2,-7.47,123,36888
36,-1.56,13.2,-7.17,120,37932
37,-2.0,13.14,-7.4,120,37887
38,-2.64,13.13,-7.28,119,38060
39,-3.46,13.12,-7.06,120,37714
40,-3.96,13.2,-6.66,119,38060
41,-4.65,13.25,-5.88,119,37668
42,-5.13,13.22,-4.37,120,37541
43,-5.51,13.05,-3.02,118,38060
44,-5.69,12.88,-2.4,119,37887
45,-5.87,12.86,-1.83,121,37541
46,-5.88,12.64,-1.81,121,37541
47,-5.96,12.51,-2.14,121,37975
48,-5.94,12.39,-2.73,122,37584
49,-5.95,12.08,-2.31,121,37758
50,-5.77,11.73,-1.73,121,37758
51,-5.47,11.67,-1.15,122,37584
52,-5.42,11.64,-0.97,122,37368
53,-5.41,11.71,-0.42,123,37195
54,-5.22,11.91,-0.24,122,37410
55,-5.3,12.26,-0.22,122,37368
56,-5.42,12.29,-0.49,122,37152
57,-5.34,12.26,-0.26,122,37152
58,-4.98,12.21,-0.06,122,37368
59,-4.7,12.26,0.03,121,37541
60,-4.32,12.16,0.06,122,37368
61,-3.94,12.12,0.38,122,37152
62,-3.54,12.15,0.36,123,36936
63,-3.39,12.09,0.24,122,37368
64,-3.36,12.05,0.13,122,37368
65,-3.46,12.17,0.09,122,37324
66,-3.44,12.15,0.06,122,37368
67,-3.41,12.13,0.05,121,37324
68,-3.49,12.34,0.01,122,37324
69,-3.5,12.4,0.01,122,37152
70,-3.37,12.32,-0.08,121,37324
71,-3.42,12.26,-0.08,122,36980
72,-3.46,12.29,-0.08,121,37324
73,-3.36,12.1,-0.09,121,37541
74,-3.33,12.12,-0.1,122,37152
75,-3.58,12.04,-0.02,121,37278
76,-3.79,12.09,-0.06,121,37278
77,-4.21,11.9,-0.06,120,37496
78,-4.6,11.96,-0.03,120,37541
79,-5.11,11.95,-0.08,121,37195
80,-5.32,12.02,-0.01,121,37450
81,-5.64,12.01,0.02,120,37625
82,-5.71,12.26,-0.06,121,37022
83,-5.82,12.32,-0.08,121,36980
84,-5.74,12.38,-0.08,122,36849
85,-5.71,12.48,-0.81,122,37062
86,-5.68,12.73,-1.32,122,37062
87,-5.7,12.79,-1.56,122,37275
88,-5.48,12.73,-1.54,121,38092
89,-5.5,12.65,-1.46,122,37914
90,-5.31,12.54,-0.7,122,37701
91,-4.83,12.47,-0.05,122,37488
92,-4.82,12.64,0.39,123,37100
93,-5.11,12.92,0.62,122,36888
94,-5.21,13.24,-0.18,122,36464
95,-5.47,13.42,-0.16,125,35568
96,-6.0,13.36,-0.48,125,35360
97,-6.03,13.23,-0.8,126,35190
98,-6.06,13.11,-1.04,124,35530
99,-6.06,13.0,-0.23,124,35739
100,-5.97,12.96,-0.32,124,35739
101,-5.83,13.03,-0.0,124,35700
102,-5.74,13.04,0.52,124,35700
103,-5.48,13.03,0.52,124,35659
104,-5.11,12.93,0.48,123,36210
105,-4.79,12.8,0.38,122,36594
106,-4.35,12.74,-0.05,122,36980
107,-4.14,12.62,-0.35,124,36636
108,-3.93,12.59,-0.46,125,36252
109,-3.92,12.58,-0.74,125,36423
110,-3.95,12.53,-1.23,125,36210
111,-4.24,12.47,-1.6,125,36210
112,-4.24,12.47,-2.21,125,36423
113,-4.3,12.63,-2.4,125,35952
114,-4.11,12.55,-2.76,124,36550
115,-3.9,12.66,-2.83,123,36936
116,-3.54,12.69,-2.26,123,37152
117,-3.24,12.63,-1.67,121,37449
118,-2.95,12.42,-1.42,121,37496
119,-2.82,12.44,-1.36,122,37714
120,-2.76,12.23,-1.35,123,37541
121,-2.64,12.16,-1.85,123,37278
122,-2.45,12.18,-2.44,124,37278
123,-2.3,12.07,-3.01,124,37714
124,-2.19,11.98,-3.01,126,37152
125,-2.09,12.11,-3.0,126,37324
126,-2.16,12.13,-3.02,126,37324
127,-2.3,12.08,-3.18,126,37496
128,-2.48,12.12,-3.23,126,37496
129,-2.67,12.11,-3.25,126,37496
130,-2.72,12.03,-3.26,126,37496
131,-2.73,11.62,-3.25,125,37668
132,-2.73,11.57,-3.2,126,37449
133,-2.74,11.5,-3.17,126,37668
134,-2.68,11.3,-3.18,126,37230
135,-2.71,11.2,-3.2,126,37668
136,-2.65,11.44,-3.23,126,37496
